R1_FEE_CODE,R1_GF_COD,FINAL
PLN_APL,PLN-APL-01,0
PLN_APL,PLN-APL-25,0
PLN_APL,PLN-APL-03,665
PLN_APL,PLN-APL-04,665
PLN_APL,PLN-APL-05,665
PLN_APL,PLN-APL-06,665
PLN_APL,PLN-APL-07,0
PLN_APL,PLN-APL-08,0
PLN_APL,PLN-APL-09,665
PLN_APL,PLN-APL-10,0
PLN_APL,PLN-APL-11,0
PLN_APL,PLN-APL-12,0
PLN_APL,PLN-APL-13,0
PLN_APL,PLN-APL-14,665
PLN_APL,PLN-APL-15,665
PLN_APL,PLN-APL-16,665
PLN_APL,PLN-APL-17,665
PLN_APL,PLN-APL-18,0
PLN_APL,PLN-APL-19,0
PLN_APL,PLN-APL-20,0
PLN_APL,PLN-APL-21,0
PLN_APL,PLN-APL-22,0
PLN_APL,PLN-APL-23,0
PLN_APL,PLN-APL-24,0
PLN_APL,PLN-APL-02,665
PLN_DES,PLN-DES-01,1394
PLN_DES,PLN-DES-03,348
PLN_DES,PLN-DES-04,8356
PLN_DES,PLN-DES-05,8356
PLN_DRV_DRM,PLN-DRM-01,4576
PLN_DRV_DRP,PLN-DRP-01,665
PLN_ENT_AHB,PLN-AHB-01,"856, 0, 1, 9999, 856, 0.00388, 1, 999999, 4773, 0.00462, 1, 4999999, 23653, 0.00388, 1, 9999999, 43434, 0.00203, 1, 19999999, 64050, 0, 1"
PLN_ENT_AHB,PLN-AHB-02,856
PLN_ENT_AHB,PLN-AHB-14,636
PLN_ENT_AHB,PLN-AHB-03,1198
PLN_ENT_AHB,PLN-AHB-BOS,120
PLN_ENT_COA,PLN-COA-BOA,20
PLN_ENT_COA,PLN-COA-CRED,-1
PLN_ENT_COA,PLN-COA-02,"410,999,1633,20000,7555"
PLN_ENT_CTZ,PLN-CTZ-BOA,20
PLN_ENT_CTZ,PLN-CTZ-01,"340, 0, 1, 9999, 347, 0.00156, 1, 999999, 1920, 0.00185, 1, 4999999, 9492, 0.00153, 1, 9999999, 17372, 0.00081, 1, 19999999, 25649, 0, 1"
PLN_ENT_CTZ,PLN-CTZ-CRED,0
PLN_ENT_CUA,PLN-ENT-14,1272
PLN_ENT_CUA,PLN-CUA-BOS1,120
PLN_ENT_CUA,PLN-CUA-04,"856, 0, 1, 9999, 856, 0.00388, 1, 999999, 4773, 0.00462, 1, 4999999, 23653, 0.00388, 1, 9999999, 43434, 0.00203, 1, 19999999, 64050, 0, 1"
PLN_ENT_CUA,PLN-CUA-BOS,120
PLN_ENT_CUA,PLN-CUA-CRED,-1
PLN_ENT_CUA,PLN-CUA-03,2396
PLN_ENT_CUA,PLN-CUA-02,1712
PLN_ENT_CUA,PLN-CUA-01,"1712, 0, 1, 9999, 1712, 0.00777, 1, 999999, 9545, 0.00926, 1, 4999999, 47307, 0.00777, 1, 9999999, 86869, 0.00404, 1, 19999999, 128099, 0, 1"
PLN_ENT_DNX,PLN-DNX-BOA,20
PLN_ENT_DNX,PLN-DNX-01,2417
PLN_ENT_DNX,PLN-DNX-02,1272
PLN_ENT_DNX,PLN-DNX-CRED,-1
PLN_ENT_DNX,PLN-ENT-112,1272
PLN_ENT_DNX,PLN-DNX-03,"340, 0, 1, 9999, 347, 0.00156, 1, 999999, 1920, 0.00185, 1, 4999999, 9492, 0.00153, 1, 9999999, 17372, 0.00081, 1, 19999999, 25649, 0, 1"
PLN_ENT_ENX,PLN-ENX-CRED,-1
PLN_ENT_ENX,PLN-ENX-BOA,120
PLN_ENT_ENX,PLN-ENX-01,"1712, 0, 1, 9999, 1712, 0.00777, 1, 999999, 9545, 0.00926, 1, 4999999, 47307, 0.00777, 1, 9999999, 86869, 0.00404, 1, 19999999, 128099, 0, 1"
PLN_ENT_OFA,PLN-OFA-01,6478
PLN_ENT_OFA,PLN-OFA-BOA,20
PLN_ENT_PTA,PLN-PTA-BOA,20
PLN_ENT_PTA,PLN-PTA-01,11032
PLN_ENT_PTA,PLN-PTA-CRED,-1
PLN_ENT_TDM,PLN-TDM-03,1446
PLN_ENT_TDM,PLN-TDM-02,1113
PLN_ENT_TDM,PLN-TDM-01,6676
PLN_ENT_VAR,PLN-VAR-01,"1088,9999,2424,20000,4936"
PLN_ENT_VAR,PLN-VAR-CRED,-1
PLN_ENT_VAR,PLN-ENT-106,1272
PLN_ENT_VAR,PLN-VAR-BOA,20
PLN_ENV_ECA,PLN-ENV-BOS,120
PLN_ENV_ECA,PLN-CE-05,320
PLN_ENV_ECD,PLN-CPE-01,16589
PLN_ENV_ECE,PLN-CPE-02,9064
PLN_ENV_ECP,PLN-EIR-05,"1774, 0, 1, 9999, 7370, 0.03354, 1, 199999, 13865, 0.02534, 1, 999999, 34532, 0.02125, 1, 9999999, 229617, 0.00655, 1, 29999999, 363206, 0.00245, 1, 49999999, 413526, 0.00058, 1, 99999999, 443479, 0.00024, 1"
PLN_ENV_EEC,PLN-CE-02,4317
PLN_ENV_EEC,PLN-ENV-BOS,120
PLN_ENV_EEC,PLN-CPE-03,"13663, 0, 1, 9999, 13663, 0.00238, 1, 199999, 14115, 0.00227, 1, 999999, 15931, 0.00068, 1, 9999999, 22142, 0.00504, 1"
PLN_ENV_EEC,PLN-CE-04,380
PLN_ENV_EEC,PLN-CE-03,7430
PLN_ENV_EEC,PLN-CE-01,3113
PLN_ENV_EHI,PLN-CE-02,4317
PLN_ENV_EHR,PLN-CE-01,3113
PLN_ENV_EIA,PLN-EIR-03,29793
PLN_ENV_EIC,PLN-EIR-06,"39367, 0, 1, 199999, 39367, 0.00967, 1, 999999, 47473, 0.00655, 1, 9999999, 107588, 0.00269, 1, 29999999, 162402, 0.00072, 1, 49999999, 177453, 0.00072, 1, 99999999, 215083, 0.00024, 1"
PLN_ENV_EIF,PLN-EIR-07,"19683.5, 0, 1, 199999., 19683.5, 0.00484, 1, 999999, 23736.5, 0.00328, 1, 9999999, 53794.0, 0.00135, 1, 29999999, 81201., 0.00036, 1, 49999999, 88726.5, 0.00036, 1, 99999999, 107541.5, 0.00012, 1"
PLN_ENV_EIR,PLN-EIR-02,"31633, 0, 1, 199999, 31633, 0.00778, 1, 999999, 38145, 0.00526, 1, 9999999, 86453, 0.00214, 1, 29999999, 130472, 0.00058, 1, 49999999, 142469, 0.00058, 1, 99999999, 172717, 0.00020, 1"
PLN_ENV_EIS,PLN-EIR-04,50
PLN_ENV_ENA,PLN-NEG-02,29793
PLN_ENV_END,PLN-NEG-01,"1424, 0, 1, 9999, 5541, 0.02692, 1, 199999, 10761, 0.02036, 1, 999999, 27371, 0.01710, 1, 9999999, 184176, 0.00526, 1, 29999999, 291525, 0.00198, 1, 49999999, 331853, 0.00048, 1, 99999999, 355992, 0.0002, 1"
PLN_ENV_ETR,PLN-ENV-03,28376
PLN_ENV_ETR,PLN-ENV-03B,10303
PLN_ENV_ETT,PLN-CPE-03,"13663, 0, 1, 9999, 13663, 0.00238, 1, 199999, 14115, 0.00227, 1, 999999, 15931, 0.00068, 1, 9999999, 22142, 0.00504, 1"
PLN_GAS,PLN-GAS-01,295
PLN_GAS,PLN-GAS-02,912
PLN_GEN,PLN-GEN-06,600
PLN_GEN,PLN-GEN-07,2400
PLN_GEN,PLN-GEN-08,544
PLN_GEN,PLN-GEN-09,1629
PLN_GEN,PLN-GEN-10,912
PLN_GEN,PLN-GEN-11,295
PLN_GEN,PLN-GEN-12,520
PLN_GEN,PLN-GEN-13,5549
PLN_GEN,PLN-GEN-14,0
PLN_GEN,PLN-GEN-15,0
PLN_GEN,PLN-GEN-16,490
PLN_GEN,PLN-GEN-17,1159
PLN_GEN,PLN-GEN-05,3705
PLN_GEN,PLN-GEN-03,490
PLN_GEN,PLN-GEN-02,1159
PLN_GPR,PLN-GPR-01,4407
PLN_GPR,PLN-GPR-02,1754
PLN_IMP,PLN-IMP-02,2987
PLN_IMP,PLN-IMP-01,16319
PLN_LEG_MAP,PLN-MAP-01,3795
PLN_LEG_MAP,PLN-MAP-02,9387
PLN_LEG_PCA,PLN-PCA-01,18757
PLN_MLS,PLN-MLS-02,3189
PLN_MLS,PLN-MLS-01,6379
PLN_PPA,PLN-PPA-01,5893
PLN_PRJ,PLN-PRJ-01,1
PLN_PRJ_MCM,PLN-MCM-01,1504
PLN_PRV,PLN-PRV-04,2274
PLN_PRV,PLN-PRV-03,1159
PLN_PRV,PLN-PRV-02,1605
PLN_PRV,PLN-PRV-05,1159
PLN_PRV,PLN-PRV-01,490
PLN_SHARED,PLN-SHARE-02,1
PLN_SHARED,PLN PLAN CCC,-1
PLN_SHARED,PLN-SHARE-08,1
PLN_SHARED,PLN-SHARE-07,1
PLN_SHARED,PLN-SHARE-01,50
PLN_SHARED,PLN-SHARE-06,-1
PLN_SHARED,PLN-SHARE-05,-1
PLN_SHD,PLN-SHD-BOA,20
PLN_SHD,PLN-SHD-01,622
PLN_STR,PLN-STR-0,250
PLN_STR,PLN-STR-01,450
PLN_TDE,PLN-TDE-BOA,20
PLN_TDE,PLN-TDE-01,1956
PLN_TDT,PLN-TDT-01,565
PLN_TDU,PLN-TDU-01,1762
PLN_WLS,PLN-WLS-BOS,120
PLN_WLS,PLN-WLS-01,5990
PLN_WLS,PLN-WLS-02,254
PLN_ZAD,PLN-ZAD-BOA,20
PLN_ZAD,PLN-ZAD-01,734
PLN_ZAV,PLN-ZAV-01,163
PLN_ZAV,PLN-ZAV-BOA,20
