?RECORD ID,RECORD NAME,RECORD OPEN DATE
CL27,1321 COLUMBUS AVE,12/17/2015
EKC29,4298 MISSION ST,12/17/2015
EKC51,161 LEAVENWORTH ST,12/17/2015
JPL29,190 05TH ST,12/17/2015
JPL42,298 11TH ST,12/17/2015
KAB92,2146 UNION ST,12/17/2015
KES11,68 12TH ST,12/17/2015
KES13,14 OTIS ST,12/17/2015
KES14,951 MISSION ST,12/17/2015
KES22,354 11TH ST,12/17/2015
KES42,201 02ND ST,12/17/2015
KES43,201 02ND ST,12/17/2015
KES46,425 02ND ST,12/17/2015
KES52,1968 MISSION ST,12/17/2015
KES53,1968 MISSION ST,12/17/2015
KES55,1801 MISSION ST,12/17/2015
KES56,1990 FOLSOM ST,12/17/2015
KES59,501 SOUTH VAN NESS AVE,12/17/2015
KID11,3150 03RD ST,12/17/2015
KID16,1120 VALENCIA ST,12/17/2015
KID17,1120 VALENCIA ST,12/17/2015
MDM25,239 10TH ST,12/17/2015
MDM26,239 10TH ST,12/17/2015
MDM62,1201 03RD ST,12/17/2015
MDM63,1201 03RD ST,12/17/2015
MDM66,260 KING ST,12/17/2015
MDM84,701 16TH ST,12/17/2015
MDM85,701 16TH ST,12/17/2015
MDM86,701 16TH ST,12/17/2015
ORIG1017,299 BAYSHORE BLVD,12/17/2015
ORIG1018,299 BAYSHORE BLVD,12/17/2015
ORIG1035,461 CORTLAND AVE,12/17/2015
ORIG1049,1524 SILVER AVE,12/17/2015
ORIG1063,2550 BAYSHORE BLVD,12/17/2015
ORIG1075,688 MORSE ST,12/17/2015
ORIG1078,1314 VALENCIA ST,12/17/2015
ORIG1079,1314 VALENCIA ST,12/17/2015
ORIG1115,2860 DIAMOND ST,12/17/2015
ORIG112,151 POWELL ST,12/17/2015
ORIG1125,285 OCEAN AVE,12/17/2015
ORIG113,151 POWELL ST,12/17/2015
ORIG1136,5670 MISSION ST,12/17/2015
ORIG1142,5870 MISSION ST,12/17/2015
ORIG117,160 EDDY ST,12/17/2015
ORIG118,160 EDDY ST,12/17/2015
ORIG119,238 TAYLOR ST,12/17/2015
ORIG1228,3079 BRODERICK ST,12/17/2015
ORIG1265,432 GEARY ST,12/17/2015
ORIG1294,225 HYDE ST,12/17/2015
ORIG133,1066 MARKET ST,12/17/2015
ORIG1334,1284 MISSION ST,12/17/2015
ORIG134,1066 MARKET ST,12/17/2015
ORIG135,1066 MARKET ST,12/17/2015
ORIG143,2281 CHESTNUT ST,12/17/2015
ORIG145,2240 LOMBARD ST,12/17/2015
ORIG160,1475 LOMBARD ST,12/17/2015
ORIG179,1945 UNION ST,12/17/2015
ORIG195,1900 VAN NESS AVE,12/17/2015
ORIG21,705 BROADWAY,12/17/2015
ORIG22,401 BROADWAY,12/17/2015
ORIG222,1320 VAN NESS AVE,12/17/2015
ORIG226,1201 SUTTER ST,12/17/2015
ORIG238,1101 FILLMORE ST,12/17/2015
ORIG251,1874 MARKET ST,12/17/2015
ORIG261,2240 LOMBARD ST,12/17/2015
ORIG262,2440 LOMBARD ST,12/17/2015
ORIG287,1401 DIVISADERO ST,12/17/2015
ORIG31,298 PACIFIC AVE,12/17/2015
ORIG32,298 PACIFIC AVE,12/17/2015
ORIG320,2224 CLEMENT ST,12/17/2015
ORIG321,2224 CLEMENT ST,12/17/2015
ORIG336,701 CLEMENT ST,12/17/2015
ORIG339,4715 GEARY BLVD,12/17/2015
ORIG347,6300 GEARY BLVD,12/17/2015
ORIG350,1324 VALENCIA ST,12/17/2015
ORIG359,409 10TH AVE,12/17/2015
ORIG372,700 36TH AVE,12/17/2015
ORIG373,700 36TH AVE,12/17/2015
ORIG395,1400 09TH AVE,12/17/2015
ORIG406,2395 27TH AVE,12/17/2015
ORIG407,2395 27TH AVE,12/17/2015
ORIG415,2055 TARAVAL ST,12/17/2015
ORIG416,2055 TARAVAL ST,12/17/2015
ORIG417,2055 TARAVAL ST,12/17/2015
ORIG419,1701 TARAVAL ST,12/17/2015
ORIG434,601 MONTEREY BLVD,12/17/2015
ORIG438,1490 OCEAN AVE,12/17/2015
ORIG44,1100 STOCKTON ST,12/17/2015
ORIG443,1990 OCEAN AVE,12/17/2015
ORIG444,1990 OCEAN AVE,12/17/2015
ORIG459,1600 MISSION ST,12/17/2015
ORIG460,1600 MISSION ST,12/17/2015
ORIG462,199 VALENCIA ST,12/17/2015
ORIG463,1618 HOWARD ST,12/17/2015
ORIG469,1601 MISSION ST,12/17/2015
ORIG470,1601 MISSION ST,12/17/2015
ORIG476,244 09TH ST,12/17/2015
ORIG487,385 10TH ST,12/17/2015
ORIG539,1801 MISSION ST,12/17/2015
ORIG543,301 SOUTH VAN NESS AVE,12/17/2015
ORIG546,401 SOUTH VAN NESS AVE,12/17/2015
ORIG547,490 SOUTH VAN NESS AVE,12/17/2015
ORIG548,490 SOUTH VAN NESS AVE,12/17/2015
ORIG549,490 SOUTH VAN NESS AVE,12/17/2015
ORIG550,490 SOUTH VAN NESS AVE,12/17/2015
ORIG551,490 SOUTH VAN NESS AVE,12/17/2015
ORIG552,490 SOUTH VAN NESS AVE,12/17/2015
ORIG561,2336 MARKET ST,12/17/2015
ORIG563,3133 16TH ST,12/17/2015
ORIG564,501 SOUTH VAN NESS AVE,12/17/2015
ORIG580,3412 18TH ST,12/17/2015
ORIG612,30 07TH ST,12/17/2015
ORIG619,972 MISSION ST,12/17/2015
ORIG638,201 MISSION ST,12/18/2015
ORIG639,201 MISSION ST,12/18/2015
ORIG640,201 MISSION ST,12/18/2015
ORIG641,201 MISSION ST,12/18/2015
ORIG648,545 MISSION ST,12/18/2015
ORIG649,190 05TH ST,12/18/2015
ORIG65,801 STOCKTON ST,12/18/2015
ORIG654,951 MISSION ST,12/18/2015
ORIG683,530 FOLSOM ST,12/18/2015
ORIG689,126 FOLSOM ST,12/18/2015
ORIG690,75 HOWARD ST,12/18/2015
ORIG691,75 HOWARD ST,12/18/2015
ORIG692,75 HOWARD ST,12/18/2015
ORIG693,75 HOWARD ST,12/18/2015
ORIG699,515 FOLSOM ST,12/18/2015
ORIG700,386 01ST ST,12/18/2015
ORIG702,360 05TH ST,12/18/2015
ORIG711,345 06TH ST,12/18/2015
ORIG712,345 06TH ST,12/18/2015
ORIG717,915 FOLSOM ST,12/18/2015
ORIG720,1075 FOLSOM ST,12/18/2015
ORIG722,351 08TH ST,12/18/2015
ORIG749,975 HARRISON ST,12/18/2015
ORIG775,425 02ND ST,12/18/2015
ORIG778,575 HARRISON ST,12/18/2015
ORIG788,539 BRYANT ST,12/18/2015
ORIG795,575 07TH ST,12/18/2015
ORIG797,833 BRYANT ST,12/18/2015
ORIG82,427 STOCKTON ST,12/18/2015
ORIG830,1 DEHARO ST,12/18/2015
ORIG836,1830 03RD ST,12/18/2015
ORIG837,1830 03RD ST,12/18/2015
ORIG838,130 WISCONSIN ST,12/18/2015
ORIG852,625 POTRERO AVE,12/18/2015
ORIG858,2225 03RD ST,12/18/2015
ORIG859,2250 03RD ST,12/18/2015
ORIG87,456 POST ST,12/18/2015
ORIG875,2802 24TH ST,12/18/2015
ORIG880,2833 03RD ST,12/18/2015
ORIG882,1050 25TH ST,12/18/2015
ORIG89,989 POST ST,12/18/2015
ORIG895,1111 PENNSYLVANIA AVE,12/18/2015
ORIG896,1111 PENNSYLVANIA AVE,12/18/2015
ORIG904,2398 JERROLD AVE,12/18/2015
ORIG912,1055 MARIN ST,12/18/2015
ORIG913,3210 03RD ST,12/18/2015
ORIG916,750 INNES AVE,12/18/2015
ORIG917,770 INNES AVE,12/18/2015
ORIG918,770 INNES AVE,12/18/2015
ORIG919,777 INNES AVE,12/18/2015
ORIG927,1700 EVANS ST,12/18/2015
ORIG928,1700 EVANS ST,12/18/2015
ORIG953,1878 OAKDALE AVE,12/18/2015
ORIG954,1878 OAKDALE AVE,12/18/2015
